state_long;state_short;state_group;lat;long;group
Alabama;AL;South;32,318231;-86,902298;1
Alaska;AK;West;63,588753;-154,493062;2
Arizona;AZ;West;34,048928;-111,093731;3
Arkansas;AR;South;35,20105;-91,831833;4
California;CA;West;36,778261;-119,417932;5
Colorado;CO;West;39,550051;-105,782067;6
Connecticut;CT;Northeast;41,603221;-73,087749;7
Delaware;DE;South;38,910832;-75,52767;8
Florida;FL;South;27,664827;-81,515754;9
Georgia;GA;South;32,157435;-82,907123;10
Hawaii;HI;West;19,898682;-155,665857;11
Idaho;ID;West;44,068202;-114,742041;12
Illinois;IL;Midwest;40,633125;-89,398528;13
Indiana;IN;Midwest;40,551217;-85,602364;14
Iowa;IA;Midwest;41,878003;-93,097702;15
Kansas;KS;Midwest;39,011902;-98,484246;16
Kentucky;KY;South;37,839333;-84,270018;17
Louisiana;LA;South;31,244823;-92,145024;18
Maine;ME;Northeast;45,253783;-69,445469;19
Maryland;MD;South;39,045755;-76,641271;20
Massachusetts;MA;Northeast;42,407211;-71,382437;21
Michigan;MI;Midwest;44,314844;-85,602364;22
Minnesota;MN;Midwest;46,729553;-94,6859;23
Mississippi;MS;South;32,354668;-89,398528;24
Missouri;MO;Midwest;37,964253;-91,831833;25
Montana;MT;West;46,879682;-110,362566;26
Nebraska;NE;Midwest;41,492537;-99,901813;27
Nevada;NV;West;38,80261;-116,419389;28
New Hampshire;NH;Northeast;43,193852;-71,572395;29
New Jersey;NJ;Northeast;40,058324;-74,405661;30
New Mexico;NM;West;34,97273;-105,032363;31
New York;NY;Northeast;43,299428;-74,217933;32
North Carolina;NC;South;35,759573;-79,0193;33
North Dakota;ND;Midwest;47,551493;-101,002012;34
Ohio;OH;Midwest;40,417287;-82,907123;35
Oklahoma;OK;South;35,007752;-97,092877;36
Oregon;OR;West;43,804133;-120,554201;37
Pennsylvania;PA;Northeast;41,203322;-77,194525;38
Rhode Island;RI;Northeast;41,580095;-71,477429;39
South Carolina;SC;South;33,836081;-81,163725;40
South Dakota;SD;Midwest;43,969515;-99,901813;41
Tennessee;TN;South;35,517491;-86,580447;42
Texas;TX;South;31,968599;-99,901813;43
Utah;UT;West;39,32098;-111,093731;44
Vermont;VT;Northeast;44,558803;-72,577841;45
Virginia;VA;South;37,431573;-78,656894;46
Washington;WA;West;47,751074;-120,740139;47
West Virginia;WV;South;38,597626;-80,454903;48
Wisconsin;WI;Midwest;43,78444;-88,787868;49
Wyoming;WY;West;43,075968;-107,290284;50
